Name,Mass,Semi-major axis,x,y,z,vx,vy,vz,Eccentricity,Inclination,Longitude of ascending node,Longitude of perihelion,Longitude of ascending node,Longitude of perihelion,Start Date,Parent body
Unit,kg,m,m,m,m,m/s,m/s,m/s,,rad,deg,deg,rad,rad,date,Name
Sun,1.99E+30,0,2.70E+08,9.17E+08,-1.80E+07,-1.01E+01,8.70E+00,2.45E-01,0,0,0,0,0,0,1/1/2018,
Mercury,3.30E+23,5.79E+10,-5.77E+10,-2.47E+08,5.21E+09,-9.17E+03,-4.66E+04,-2.97E+03,0.20563069,0.122260314,48.33167,77.45645,0.843546774,1.351870079,1/1/2018,Sun
Venus,4.87E+24,1.08E+11,1.09E+10,-1.07E+11,-2.12E+09,3.46E+04,3.31E+03,-1.95E+03,0.00677323,0.059248692,76.68069,131.53298,1.338330513,2.295683576,1/1/2018,Sun
Earth,5.97E+24,1.50E+11,-2.59E+10,1.46E+11,-2.37E+07,-2.98E+04,-5.41E+03,-1.94E-01,0.01671022,8.72665E-07,-11.26064,102.94719,-0.196535244,1.796767421,1/1/2018,Sun
Mars,6.39E+23,2.28E+11,-2.37E+11,-5.73E+10,4.58E+09,6.67E+03,-2.15E+04,-6.14E+02,0.09341233,0.032306044,49.57854,336.04084,0.865308761,5.865019079,1/1/2018,Sun
Jupiter,1.90E+27,7.78E+11,-6.37E+11,-5.03E+11,1.63E+10,7.94E+03,-9.64E+03,-1.38E+02,0.04839266,0.022776547,100.55615,14.75385,1.755035901,0.25750326,1/1/2018,Sun
Saturn,5.68E+26,1.43E+12,7.17E+09,-1.50E+12,2.59E+10,9.13E+03,1.53E+01,-3.64E+02,0.0541506,0.043353979,113.71504,92.43194,1.984701857,1.613241687,1/1/2018,Sun
Uranus,8.68E+25,2.87E+12,2.65E+12,1.36E+12,-2.93E+10,-3.15E+03,5.75E+03,6.19E+01,0.04716771,0.013439035,74.22988,170.96424,1.295555809,2.983888891,1/1/2018,Sun
Neptune,1.02E+26,4.50E+12,4.29E+12,-1.29E+12,-7.24E+10,1.52E+03,5.24E+03,-1.44E+02,0.00858587,0.030874874,131.72169,44.97135,2.298977187,0.784898127,1/1/2018,Sun
Pluto,1.25E+22,5.91E+12,1.61E+12,-4.74E+12,4.08E+10,5.25E+03,5.93E+02,-1.59E+03,0.24880766,0.29918434,110.30347,224.06676,1.925158728,3.910702706,1/1/2018,Sun
Moon,7.35E+22,3.84E+08,-2.59E+10,1.46E+11,-4.87E+07,-3.09E+04,-5.32E+03,6.44E+01,0.0549,0.08979719,0,0,0,0,1/1/2018,Earth
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
